observer_count = 18, target_count = 27, radius = 5, iteration = 3, score = 1.83267
observer_count = 2, target_count = 3, radius = 5, iteration = 4, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 4, score = 0.056
observer_count = 2, target_count = 9, radius = 5, iteration = 4, score = 0.238667
observer_count = 2, target_count = 15, radius = 5, iteration = 4, score = 0.0633334
observer_count = 2, target_count = 21, radius = 5, iteration = 4, score = 0.052
observer_count = 2, target_count = 27, radius = 5, iteration = 4, score = 0.197333
observer_count = 6, target_count = 3, radius = 5, iteration = 4, score = 0
observer_count = 6, target_count = 6, radius = 5, iteration = 4, score = 0.510667
observer_count = 6, target_count = 9, radius = 5, iteration = 4, score = 0.180667
observer_count = 6, target_count = 15, radius = 5, iteration = 4, score = 0.233334
observer_count = 6, target_count = 21, radius = 5, iteration = 4, score = 0.220667
observer_count = 6, target_count = 27, radius = 5, iteration = 4, score = 0.89
observer_count = 10, target_count = 3, radius = 5, iteration = 4, score = 0
observer_count = 10, target_count = 6, radius = 5, iteration = 4, score = 0.102
observer_count = 10, target_count = 9, radius = 5, iteration = 4, score = 0.220667
observer_count = 10, target_count = 15, radius = 5, iteration = 4, score = 0.344666
observer_count = 10, target_count = 21, radius = 5, iteration = 4, score = 0.699333
observer_count = 10, target_count = 27, radius = 5, iteration = 4, score = 0.598667
observer_count = 14, target_count = 3, radius = 5, iteration = 4, score = 0
observer_count = 14, target_count = 6, radius = 5, iteration = 4, score = 0.132667
observer_count = 14, target_count = 9, radius = 5, iteration = 4, score = 0.464
observer_count = 14, target_count = 15, radius = 5, iteration = 4, score = 0.454667
observer_count = 14, target_count = 21, radius = 5, iteration = 4, score = 0.728667
observer_count = 14, target_count = 27, radius = 5, iteration = 4, score = 0.962
observer_count = 18, target_count = 3, radius = 5, iteration = 4, score = 0.0733333
observer_count = 18, target_count = 6, radius = 5, iteration = 4, score = 0.114667
observer_count = 18, target_count = 9, radius = 5, iteration = 4, score = 0.849333
observer_count = 18, target_count = 15, radius = 5, iteration = 4, score = 0.953334
observer_count = 18, target_count = 21, radius = 5, iteration = 4, score = 1.74
